,Funded Projects,Publication Count
2013,18.0,3.0
2014,29.0,7.0
2015,41.0,13.0
2016,35.0,37.0
2017,34.0,33.0
2018,1.0,36.0
2019,26.0,25.0
2020,15.0,33.0
2021,16.0,26.0
2022,,14.0
2023,,1.0
